EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,Address,geocoded
8433 NE 13th Ave,,Portland,OR,97211,8433 NE 13th Ave Portland OR 97211,"(45.58386369999999, -122.6532315)"
982 Northcutts Cove Road,,McMinnville,TN,37110,982 Northcutts Cove Road McMinnville TN 37110,"(35.592258, -85.7201458)"
7366 State Hwy 146 S,,Livingston,TX,77351,7366 State Hwy 146 S Livingston TX 77351,"(30.6379294, -94.86409739999999)"
4198 Road 2049,,Brockton,MT,59213,4198 Road 2049 Brockton MT 59213,"(48.2941396, -104.9405019)"
400 Eagle Lake Loop Rd.,,Winter Haven,FL,33884,400 Eagle Lake Loop Rd. Winter Haven FL 33884,"(27.9672349, -81.7143042)"
394 SHAFFIE LANE,PO BOX 471,MCMINNVILLE,TN,37110,394 SHAFFIE LANE MCMINNVILLE TN 37110,"(35.680071, -85.8372569)"
1 O'Connor Road,,Broadus,MT,59317,1 O'Connor Road Broadus MT 59317,"(45.4438809, -105.4074903)"
101 E. Main Street,P.O. Box 104,Heber,CA,92249,101 E. Main Street Heber CA 92249,"(32.7303887, -115.5250385)"
12701 220th Street E,"22100 Lillehel Avenue Hastings, MN 55033", Hastings,MN,55033,12701 220th Street E  Hastings MN 55033,"(44.630149, -92.84758599999999)"
7365 HIGHWAY 90,,ROANOKE,LA,70581,7365 HIGHWAY 90 ROANOKE LA 70581,"(30.2322456, -92.7750248)"
435 South Bluff Rd,,Collinsville,IL,62234,435 South Bluff Rd Collinsville IL 62234,"(38.6636933, -90.01725239999999)"
410 F ROAD,,LABELLE,FL,33935,410 F ROAD LABELLE FL 33935,"(26.6731208, -81.4318042)"
"333 SE 2nd Avenue, Suite 2810",,Miami,FL,33131,"333 SE 2nd Avenue, Suite 2810 Miami FL 33131","(25.7712953, -80.18977319999999)"
13245 230th Ave.,"PO Box 356, Isabel SD 57633 (Mailing Address)",Isabel,SD,57633,13245 230th Ave. Isabel SD 57633,"(45.4813937, -101.5122146)"
534 McLain Cemetery Road,,Lyons,GA,30436,534 McLain Cemetery Road Lyons GA 30436,"(32.2718882, -82.2602819)"
26422 399th Ave ,,Mount Vernon,SD,57363,26422 399th Ave  Mount Vernon SD 57363,"(43.552, -98.218671)"
7 N Magnolia Ave,,Lake Placid,FL,33852,7 N Magnolia Ave Lake Placid FL 33852,"(27.2975497, -81.3617527)"
3803 South County Road 1135,,Midland,TX,79706,3803 South County Road 1135 Midland TX 79706,"(31.9743215, -101.9767073)"
7798 County Road 512,,Fellsmere,FL,32948,7798 County Road 512 Fellsmere FL 32948,"(27.7372088, -80.6402356)"
3521 Eleven Mile Road,,Ft. Pierce,FL,34945,3521 Eleven Mile Road Ft. Pierce FL 34945,"(27.4023103, -80.44086639999999)"
5027 Hwy 182 ,5015 Hwy 182 Opelousas LA 70570 (Mailing),Opelousas,LA,70570,5027 Hwy 182  Opelousas LA 70570,"(30.5194222, -92.0794615)"
217 S. Polk Avenue,,Arcadia,FL,34266,217 S. Polk Avenue Arcadia FL 34266,"(27.212383, -81.8625811)"
416 Huntcliff,"6223 CR 147 Rd, Bono, AR  72416",Jonesboro,AR,72404,416 Huntcliff Jonesboro AR 72404,"(35.7899234, -90.7055935)"
161 FIFTH AVE SOUTH,SUITE 100,TWIN FALLS,ID,83301,161 FIFTH AVE SOUTH TWIN FALLS ID 83301,"(42.552457, -114.4724399)"
5095 SE County Road 760,,Arcadia,FL,34266,5095 SE County Road 760 Arcadia FL 34266,"(27.183054, -81.791724)"
501 Copperton Rd,,Rayne,LA,70578,501 Copperton Rd Rayne LA 70578,"(30.196537, -92.2260881)"
640 E. Plant Street,,Winter Garden,FL,34787,640 E. Plant Street Winter Garden FL 34787,"(28.5665459, -81.578729)"
1528 Eucalyptus Ave.,PO Box 1924,Lake Placid,FL,33852,1528 Eucalyptus Ave. Lake Placid FL 33852,"(27.3185837, -81.3407794)"
P.O. Box 918,20284 E CR 165,Altus,OK,73522,P.O. Box 918 Altus OK 73522,"(34.6400678, -99.33549860000001)"
P O Box 918,"303 E CR 142, Sweetwater, TX  79556",Altus,OK,73522,P O Box 918 Altus OK 73522,"(34.6400678, -99.33549860000001)"
6202 Johnson Rd,,Hebron,IL,60034,6202 Johnson Rd Hebron IL 60034,"(42.41503460000001, -88.4694914)"
1149 N CR 22,,Marienthal,KS,67863,1149 N CR 22 Marienthal KS 67863,"(38.6338771, -101.1825081)"
53515 W. 17600 N.,"PO Box 807, Park Valley UT 84329 (Mailing Address)",Park Valley,UT,84329,53515 W. 17600 N. Park Valley UT 84329,"(41.8167277, -113.3183701)"
